,count,activity,cpm
0,3250,334.69,949.6049059219115
1,2322,431.66,678.4561820155934
2,1634,338.38,477.4321280850472
3,1341,258.14,391.8215934896256
4,1321,245.41,385.97787099164464
5,899,315.4,262.67532628424567
6,854,326.2,249.52695066378843
7,775,235.65,226.4442467967635
8,659,271.54,192.55065630847375
9,637,250.5,186.12256156069466
10,475,223.52,138.7884093270486
11,421,105.76,123.01035858249993
12,332,222.05,97.0057934664845
13,307,64.16,89.70114034400825
14,284,97.35,82.98085947133012
15,259,118.91,75.67620634885387
16,218,178.39,63.69657522799284
17,157,96.49,45.873221609150804
18,156,62.54,45.58103548425175
